nameOfIssuer,nameOfIssuer_link,cusip,value,fund_name
FRONTDOOR INC,"<a href=""http://www.google.com/search?q=stock price FRONTDOOR INC"" 
        target=""_blank"">FRONTDOOR INC</a>",35905A109,1144650,['CITADEL ADVISORS LLC']
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287507,1136315,['CITADEL ADVISORS LLC']
CHENIERE ENERGY PARTNERS LP,"<a href=""http://www.google.com/search?q=stock price CHENIERE ENERGY PARTNERS LP"" 
        target=""_blank"">CHENIERE ENERGY PARTNERS LP</a>",16411Q101,1135212,['CITADEL ADVISORS LLC']
SITIO ROYALTIES CORP,"<a href=""http://www.google.com/search?q=stock price SITIO ROYALTIES CORP"" 
        target=""_blank"">SITIO ROYALTIES CORP</a>",82983N108,1133182,['CITADEL ADVISORS LLC']
UNITED STS GASOLINE FD LP,"<a href=""http://www.google.com/search?q=stock price UNITED STS GASOLINE FD LP"" 
        target=""_blank"">UNITED STS GASOLINE FD LP</a>",91201T102,1129020,['CITADEL ADVISORS LLC']
TELEPHONE & DATA SYS INC,"<a href=""http://www.google.com/search?q=stock price TELEPHONE & DATA SYS INC"" 
        target=""_blank"">TELEPHONE & DATA SYS INC</a>",879433829,1128525,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
TRI POINTE HOMES INC,"<a href=""http://www.google.com/search?q=stock price TRI POINTE HOMES INC"" 
        target=""_blank"">TRI POINTE HOMES INC</a>",87265H109,1125720,['CITADEL ADVISORS LLC']
MODINE MFG CO,"<a href=""http://www.google.com/search?q=stock price MODINE MFG CO"" 
        target=""_blank"">MODINE MFG CO</a>",607828100,1122360,['CITADEL ADVISORS LLC']
NATURAL RESOURCE PARTNERS L,"<a href=""http://www.google.com/search?q=stock price NATURAL RESOURCE PARTNERS L"" 
        target=""_blank"">NATURAL RESOURCE PARTNERS L</a>",63900P608,1119976,['CITADEL ADVISORS LLC']
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287150,1115438,['CITADEL ADVISORS LLC']
ZIPRECRUITER INC,"<a href=""http://www.google.com/search?q=stock price ZIPRECRUITER INC"" 
        target=""_blank"">ZIPRECRUITER INC</a>",98980B103,1112000,['CITADEL ADVISORS LLC']
AEMETIS INC,"<a href=""http://www.google.com/search?q=stock price AEMETIS INC"" 
        target=""_blank"">AEMETIS INC</a>",00770K202,1110880,['CITADEL ADVISORS LLC']
USA COMPRESSION PARTNERS LP,"<a href=""http://www.google.com/search?q=stock price USA COMPRESSION PARTNERS LP"" 
        target=""_blank"">USA COMPRESSION PARTNERS LP</a>",90290N109,1109538,['CITADEL ADVISORS LLC']
HALOZYME THERAPEUTICS INC,"<a href=""http://www.google.com/search?q=stock price HALOZYME THERAPEUTICS INC"" 
        target=""_blank"">HALOZYME THERAPEUTICS INC</a>",40637H109,1097712,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
ARGAN INC,"<a href=""http://www.google.com/search?q=stock price ARGAN INC"" 
        target=""_blank"">ARGAN INC</a>",04010E109,1094886,['CITADEL ADVISORS LLC']
ENERGY FUELS INC,"<a href=""http://www.google.com/search?q=stock price ENERGY FUELS INC"" 
        target=""_blank"">ENERGY FUELS INC</a>",292671708,1091442,['CITADEL ADVISORS LLC']
LEGEND BIOTECH CORP,"<a href=""http://www.google.com/search?q=stock price LEGEND BIOTECH CORP"" 
        target=""_blank"">LEGEND BIOTECH CORP</a>",52490G102,1089077,['CITADEL ADVISORS LLC']
AMBRX BIOPHARMA INC,"<a href=""http://www.google.com/search?q=stock price AMBRX BIOPHARMA INC"" 
        target=""_blank"">AMBRX BIOPHARMA INC</a>",641871108,1082240,['CITADEL ADVISORS LLC']
VANECK ETF TRUST,"<a href=""http://www.google.com/search?q=stock price VANECK ETF TRUST"" 
        target=""_blank"">VANECK ETF TRUST</a>",92189F692,1082172,['CITADEL ADVISORS LLC']
AGCO CORP,"<a href=""http://www.google.com/search?q=stock price AGCO CORP"" 
        target=""_blank"">AGCO CORP</a>",001084102,1080549,['CITADEL ADVISORS LLC']
AXONICS INC,"<a href=""http://www.google.com/search?q=stock price AXONICS INC"" 
        target=""_blank"">AXONICS INC</a>",05465P101,1076579,['CITADEL ADVISORS LLC']
FREEDOM HLDG CORP NEV,"<a href=""http://www.google.com/search?q=stock price FREEDOM HLDG CORP NEV"" 
        target=""_blank"">FREEDOM HLDG CORP NEV</a>",356390104,1071980,['CITADEL ADVISORS LLC']
WILLSCOT MOBIL MINI HLDNG CO,"<a href=""http://www.google.com/search?q=stock price WILLSCOT MOBIL MINI HLDNG CO"" 
        target=""_blank"">WILLSCOT MOBIL MINI HLDNG CO</a>",971378104,1068000,['CITADEL ADVISORS LLC']
TRIMBLE INC,"<a href=""http://www.google.com/search?q=stock price TRIMBLE INC"" 
        target=""_blank"">TRIMBLE INC</a>",896239100,1064000,['CITADEL ADVISORS LLC']
BLACK HILLS CORP,"<a href=""http://www.google.com/search?q=stock price BLACK HILLS CORP"" 
        target=""_blank"">BLACK HILLS CORP</a>",092113109,1062815,['CITADEL ADVISORS LLC']
VS TRUST,"<a href=""http://www.google.com/search?q=stock price VS TRUST"" 
        target=""_blank"">VS TRUST</a>",92891H507,1060945,['CITADEL ADVISORS LLC']
AGILON HEALTH INC,"<a href=""http://www.google.com/search?q=stock price AGILON HEALTH INC"" 
        target=""_blank"">AGILON HEALTH INC</a>",00857U107,1059220,['CITADEL ADVISORS LLC']
NATIONAL BEVERAGE CORP,"<a href=""http://www.google.com/search?q=stock price NATIONAL BEVERAGE CORP"" 
        target=""_blank"">NATIONAL BEVERAGE CORP</a>",635017106,1059036,['CITADEL ADVISORS LLC']
TORM PLC,"<a href=""http://www.google.com/search?q=stock price TORM PLC"" 
        target=""_blank"">TORM PLC</a>",G89479102,1058268,['CITADEL ADVISORS LLC']
ARHAUS INC,"<a href=""http://www.google.com/search?q=stock price ARHAUS INC"" 
        target=""_blank"">ARHAUS INC</a>",04035M102,1057020,['CITADEL ADVISORS LLC']
GRAND CANYON ED INC,"<a href=""http://www.google.com/search?q=stock price GRAND CANYON ED INC"" 
        target=""_blank"">GRAND CANYON ED INC</a>",38526M106,1056320,['CITADEL ADVISORS LLC']
TORO CO,"<a href=""http://www.google.com/search?q=stock price TORO CO"" 
        target=""_blank"">TORO CO</a>",891092108,1055890,['CITADEL ADVISORS LLC']
BIG LOTS INC,"<a href=""http://www.google.com/search?q=stock price BIG LOTS INC"" 
        target=""_blank"">BIG LOTS INC</a>",089302103,1055545,['CITADEL ADVISORS LLC']
UFP INDUSTRIES INC,"<a href=""http://www.google.com/search?q=stock price UFP INDUSTRIES INC"" 
        target=""_blank"">UFP INDUSTRIES INC</a>",90278Q108,1054620,['CITADEL ADVISORS LLC']
FS KKR CAP CORP,"<a href=""http://www.google.com/search?q=stock price FS KKR CAP CORP"" 
        target=""_blank"">FS KKR CAP CORP</a>",302635206,1054416,"['CITADEL ADVISORS LLC', 'TWO SIGMA INVESTMENTS, LP']"
INGLES MKTS INC,"<a href=""http://www.google.com/search?q=stock price INGLES MKTS INC"" 
        target=""_blank"">INGLES MKTS INC</a>",457030104,1053714,['CITADEL ADVISORS LLC']
VANGUARD WORLD FDS,"<a href=""http://www.google.com/search?q=stock price VANGUARD WORLD FDS"" 
        target=""_blank"">VANGUARD WORLD FDS</a>",92204A504,1052940,['CITADEL ADVISORS LLC']
ENERSYS,"<a href=""http://www.google.com/search?q=stock price ENERSYS"" 
        target=""_blank"">ENERSYS</a>",29275Y102,1049984,['CITADEL ADVISORS LLC']
SPROTT FDS TR,"<a href=""http://www.google.com/search?q=stock price SPROTT FDS TR"" 
        target=""_blank"">SPROTT FDS TR</a>",85208P808,1049755,['CITADEL ADVISORS LLC']
EYEPOINT PHARMACEUTICALS INC,"<a href=""http://www.google.com/search?q=stock price EYEPOINT PHARMACEUTICALS INC"" 
        target=""_blank"">EYEPOINT PHARMACEUTICALS INC</a>",30233G209,1049194,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
IMMUNOVANT INC,"<a href=""http://www.google.com/search?q=stock price IMMUNOVANT INC"" 
        target=""_blank"">IMMUNOVANT INC</a>",45258J102,1049037,['CITADEL ADVISORS LLC']
ISHARES INC,"<a href=""http://www.google.com/search?q=stock price ISHARES INC"" 
        target=""_blank"">ISHARES INC</a>",464286624,1047304,['CITADEL ADVISORS LLC']
FORTREA HLDGS INC,"<a href=""http://www.google.com/search?q=stock price FORTREA HLDGS INC"" 
        target=""_blank"">FORTREA HLDGS INC</a>",34965K107,1047000,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
SPS COMM INC,"<a href=""http://www.google.com/search?q=stock price SPS COMM INC"" 
        target=""_blank"">SPS COMM INC</a>",78463M107,1046736,['CITADEL ADVISORS LLC']
KONINKLIJKE PHILIPS N V,"<a href=""http://www.google.com/search?q=stock price KONINKLIJKE PHILIPS N V"" 
        target=""_blank"">KONINKLIJKE PHILIPS N V</a>",500472303,1045184,['CITADEL ADVISORS LLC']
KIMBELL RTY PARTNERS LP,"<a href=""http://www.google.com/search?q=stock price KIMBELL RTY PARTNERS LP"" 
        target=""_blank"">KIMBELL RTY PARTNERS LP</a>",49435R102,1039955,['CITADEL ADVISORS LLC']
VISTEON CORP,"<a href=""http://www.google.com/search?q=stock price VISTEON CORP"" 
        target=""_blank"">VISTEON CORP</a>",92839U206,1036670,['CITADEL ADVISORS LLC']
ATS CORPORATION,"<a href=""http://www.google.com/search?q=stock price ATS CORPORATION"" 
        target=""_blank"">ATS CORPORATION</a>",00217Y104,1034133,"['D. E. Shaw & Co., Inc']"
SURGERY PARTNERS INC,"<a href=""http://www.google.com/search?q=stock price SURGERY PARTNERS INC"" 
        target=""_blank"">SURGERY PARTNERS INC</a>",86881A100,1033277,['CITADEL ADVISORS LLC']
BRIGHTHOUSE FINL INC,"<a href=""http://www.google.com/search?q=stock price BRIGHTHOUSE FINL INC"" 
        target=""_blank"">BRIGHTHOUSE FINL INC</a>",10922N103,1031940,['CITADEL ADVISORS LLC']
PAMPA ENERGIA S A,"<a href=""http://www.google.com/search?q=stock price PAMPA ENERGIA S A"" 
        target=""_blank"">PAMPA ENERGIA S A</a>",697660207,1025064,['CITADEL ADVISORS LLC']
DIGITAL TURBINE INC,"<a href=""http://www.google.com/search?q=stock price DIGITAL TURBINE INC"" 
        target=""_blank"">DIGITAL TURBINE INC</a>",25400W102,1023512,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
CANADA GOOSE HLDGS INC,"<a href=""http://www.google.com/search?q=stock price CANADA GOOSE HLDGS INC"" 
        target=""_blank"">CANADA GOOSE HLDGS INC</a>",135086106,1022655,['CITADEL ADVISORS LLC']
BOISE CASCADE CO DEL,"<a href=""http://www.google.com/search?q=stock price BOISE CASCADE CO DEL"" 
        target=""_blank"">BOISE CASCADE CO DEL</a>",09739D100,1021944,['CITADEL ADVISORS LLC']
BOOT BARN HLDGS INC,"<a href=""http://www.google.com/search?q=stock price BOOT BARN HLDGS INC"" 
        target=""_blank"">BOOT BARN HLDGS INC</a>",099406100,1020908,['CITADEL ADVISORS LLC']
NEXPOINT RESIDENTIAL TR INC,"<a href=""http://www.google.com/search?q=stock price NEXPOINT RESIDENTIAL TR INC"" 
        target=""_blank"">NEXPOINT RESIDENTIAL TR INC</a>",65341D102,1015685,['CITADEL ADVISORS LLC']
KRISPY KREME INC,"<a href=""http://www.google.com/search?q=stock price KRISPY KREME INC"" 
        target=""_blank"">KRISPY KREME INC</a>",50101L106,1014048,['CITADEL ADVISORS LLC']
COLLIERS INTL GROUP INC,"<a href=""http://www.google.com/search?q=stock price COLLIERS INTL GROUP INC"" 
        target=""_blank"">COLLIERS INTL GROUP INC</a>",194693107,1012160,['CITADEL ADVISORS LLC']
WEX INC,"<a href=""http://www.google.com/search?q=stock price WEX INC"" 
        target=""_blank"">WEX INC</a>",96208T104,1011660,['CITADEL ADVISORS LLC']
SPDR SER TR,"<a href=""http://www.google.com/search?q=stock price SPDR SER TR"" 
        target=""_blank"">SPDR SER TR</a>",78468R200,1009470,['CITADEL ADVISORS LLC']
CORSAIR GAMING INC,"<a href=""http://www.google.com/search?q=stock price CORSAIR GAMING INC"" 
        target=""_blank"">CORSAIR GAMING INC</a>",22041X102,1006740,['CITADEL ADVISORS LLC']
SIMPLIFY EXCHANGE TRADED FUN,"<a href=""http://www.google.com/search?q=stock price SIMPLIFY EXCHANGE TRADED FUN"" 
        target=""_blank"">SIMPLIFY EXCHANGE TRADED FUN</a>",82889N863,1004598,['CITADEL ADVISORS LLC']
SIMPLIFY EXCHANGE TRADED FUN,"<a href=""http://www.google.com/search?q=stock price SIMPLIFY EXCHANGE TRADED FUN"" 
        target=""_blank"">SIMPLIFY EXCHANGE TRADED FUN</a>",82889N855,1004000,['CITADEL ADVISORS LLC']
LIVERAMP HLDGS INC,"<a href=""http://www.google.com/search?q=stock price LIVERAMP HLDGS INC"" 
        target=""_blank"">LIVERAMP HLDGS INC</a>",53815P108,1003820,['CITADEL ADVISORS LLC']
IONIS PHARMACEUTICALS INC,"<a href=""http://www.google.com/search?q=stock price IONIS PHARMACEUTICALS INC"" 
        target=""_blank"">IONIS PHARMACEUTICALS INC</a>",462222100,1001682,['CITADEL ADVISORS LLC']
STRUCTURE THERAPEUTICS INC,"<a href=""http://www.google.com/search?q=stock price STRUCTURE THERAPEUTICS INC"" 
        target=""_blank"">STRUCTURE THERAPEUTICS INC</a>",86366E106,998620,['CITADEL ADVISORS LLC']
CIRRUS LOGIC INC,"<a href=""http://www.google.com/search?q=stock price CIRRUS LOGIC INC"" 
        target=""_blank"">CIRRUS LOGIC INC</a>",172755100,998280,['CITADEL ADVISORS LLC']
HIMAX TECHNOLOGIES INC,"<a href=""http://www.google.com/search?q=stock price HIMAX TECHNOLOGIES INC"" 
        target=""_blank"">HIMAX TECHNOLOGIES INC</a>",43289P106,994873,['CITADEL ADVISORS LLC']
GLOBAL X FDS,"<a href=""http://www.google.com/search?q=stock price GLOBAL X FDS"" 
        target=""_blank"">GLOBAL X FDS</a>",37954Y715,994650,['CITADEL ADVISORS LLC']
ASTEC INDS INC,"<a href=""http://www.google.com/search?q=stock price ASTEC INDS INC"" 
        target=""_blank"">ASTEC INDS INC</a>",046224101,993240,['CITADEL ADVISORS LLC']
ERO COPPER CORP,"<a href=""http://www.google.com/search?q=stock price ERO COPPER CORP"" 
        target=""_blank"">ERO COPPER CORP</a>",296006109,991612,['CITADEL ADVISORS LLC']
AFFILIATED MANAGERS GROUP IN,"<a href=""http://www.google.com/search?q=stock price AFFILIATED MANAGERS GROUP IN"" 
        target=""_blank"">AFFILIATED MANAGERS GROUP IN</a>",008252108,984230,['CITADEL ADVISORS LLC']
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287309,983810,['CITADEL ADVISORS LLC']
COPT DEFENSE PROPERTIES,"<a href=""http://www.google.com/search?q=stock price COPT DEFENSE PROPERTIES"" 
        target=""_blank"">COPT DEFENSE PROPERTIES</a>",22002T108,981629,"['CITADEL ADVISORS LLC', 'TWO SIGMA INVESTMENTS, LP']"
CORCEPT THERAPEUTICS INC,"<a href=""http://www.google.com/search?q=stock price CORCEPT THERAPEUTICS INC"" 
        target=""_blank"">CORCEPT THERAPEUTICS INC</a>",218352102,980896,['CITADEL ADVISORS LLC']
STAG INDL INC,"<a href=""http://www.google.com/search?q=stock price STAG INDL INC"" 
        target=""_blank"">STAG INDL INC</a>",85254J102,977574,['CITADEL ADVISORS LLC']
NORDSON CORP,"<a href=""http://www.google.com/search?q=stock price NORDSON CORP"" 
        target=""_blank"">NORDSON CORP</a>",655663102,977392,['CITADEL ADVISORS LLC']
INVESTMENT MANAGERS SER TR I,"<a href=""http://www.google.com/search?q=stock price INVESTMENT MANAGERS SER TR I"" 
        target=""_blank"">INVESTMENT MANAGERS SER TR I</a>",46144X420,975343,['CITADEL ADVISORS LLC']
FIDUS INVT CORP,"<a href=""http://www.google.com/search?q=stock price FIDUS INVT CORP"" 
        target=""_blank"">FIDUS INVT CORP</a>",316500107,972686,['CITADEL ADVISORS LLC']
FEDERAL RLTY INVT TR NEW,"<a href=""http://www.google.com/search?q=stock price FEDERAL RLTY INVT TR NEW"" 
        target=""_blank"">FEDERAL RLTY INVT TR NEW</a>",313745101,968670,['CITADEL ADVISORS LLC']
CRH PLC,"<a href=""http://www.google.com/search?q=stock price CRH PLC"" 
        target=""_blank"">CRH PLC</a>",G25508105,968240,['CITADEL ADVISORS LLC']
HEALTHPEAK PROPERTIES INC,"<a href=""http://www.google.com/search?q=stock price HEALTHPEAK PROPERTIES INC"" 
        target=""_blank"">HEALTHPEAK PROPERTIES INC</a>",42250P103,966240,['CITADEL ADVISORS LLC']
ELDORADO GOLD CORP NEW,"<a href=""http://www.google.com/search?q=stock price ELDORADO GOLD CORP NEW"" 
        target=""_blank"">ELDORADO GOLD CORP NEW</a>",284902509,962374,['CITADEL ADVISORS LLC']
UNIVERSAL HLTH SVCS INC,"<a href=""http://www.google.com/search?q=stock price UNIVERSAL HLTH SVCS INC"" 
        target=""_blank"">UNIVERSAL HLTH SVCS INC</a>",913903100,960372,['CITADEL ADVISORS LLC']
TERAWULF INC,"<a href=""http://www.google.com/search?q=stock price TERAWULF INC"" 
        target=""_blank"">TERAWULF INC</a>",88080T104,953520,['CITADEL ADVISORS LLC']
VIZIO HLDG CORP,"<a href=""http://www.google.com/search?q=stock price VIZIO HLDG CORP"" 
        target=""_blank"">VIZIO HLDG CORP</a>",92858V101,951720,['CITADEL ADVISORS LLC']
VANGUARD WORLD FDS,"<a href=""http://www.google.com/search?q=stock price VANGUARD WORLD FDS"" 
        target=""_blank"">VANGUARD WORLD FDS</a>",92204A306,949968,['CITADEL ADVISORS LLC']
EXCELERATE ENERGY INC,"<a href=""http://www.google.com/search?q=stock price EXCELERATE ENERGY INC"" 
        target=""_blank"">EXCELERATE ENERGY INC</a>",30069T101,949244,['CITADEL ADVISORS LLC']
CRONOS GROUP INC,"<a href=""http://www.google.com/search?q=stock price CRONOS GROUP INC"" 
        target=""_blank"">CRONOS GROUP INC</a>",22717L101,947815,['CITADEL ADVISORS LLC']
CERENCE INC,"<a href=""http://www.google.com/search?q=stock price CERENCE INC"" 
        target=""_blank"">CERENCE INC</a>",156727109,947612,['CITADEL ADVISORS LLC']
ADVANCED ENERGY INDS,"<a href=""http://www.google.com/search?q=stock price ADVANCED ENERGY INDS"" 
        target=""_blank"">ADVANCED ENERGY INDS</a>",007973100,947604,['CITADEL ADVISORS LLC']
UNITED STATES CELLULAR CORP,"<a href=""http://www.google.com/search?q=stock price UNITED STATES CELLULAR CORP"" 
        target=""_blank"">UNITED STATES CELLULAR CORP</a>",911684108,947112,['CITADEL ADVISORS LLC']
UDR INC,"<a href=""http://www.google.com/search?q=stock price UDR INC"" 
        target=""_blank"">UDR INC</a>",902653104,945763,['CITADEL ADVISORS LLC']
GINKGO BIOWORKS HOLDINGS INC,"<a href=""http://www.google.com/search?q=stock price GINKGO BIOWORKS HOLDINGS INC"" 
        target=""_blank"">GINKGO BIOWORKS HOLDINGS INC</a>",37611X100,945048,['CITADEL ADVISORS LLC']
VERINT SYS INC,"<a href=""http://www.google.com/search?q=stock price VERINT SYS INC"" 
        target=""_blank"">VERINT SYS INC</a>",92343X100,937941,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
TEGNA INC,"<a href=""http://www.google.com/search?q=stock price TEGNA INC"" 
        target=""_blank"">TEGNA INC</a>",87901J105,936360,['CITADEL ADVISORS LLC']
AAR CORP,"<a href=""http://www.google.com/search?q=stock price AAR CORP"" 
        target=""_blank"">AAR CORP</a>",000361105,936000,['CITADEL ADVISORS LLC']
LINCOLN ELEC HLDGS INC,"<a href=""http://www.google.com/search?q=stock price LINCOLN ELEC HLDGS INC"" 
        target=""_blank"">LINCOLN ELEC HLDGS INC</a>",533900106,935078,['CITADEL ADVISORS LLC']
VANGUARD INDEX FDS,"<a href=""http://www.google.com/search?q=stock price VANGUARD INDEX FDS"" 
        target=""_blank"">VANGUARD INDEX FDS</a>",922908629,930560,['CITADEL ADVISORS LLC']
MATTERPORT INC,"<a href=""http://www.google.com/search?q=stock price MATTERPORT INC"" 
        target=""_blank"">MATTERPORT INC</a>",577096100,928857,['CITADEL ADVISORS LLC']
BEL FUSE INC,"<a href=""http://www.google.com/search?q=stock price BEL FUSE INC"" 
        target=""_blank"">BEL FUSE INC</a>",077347300,921426,['CITADEL ADVISORS LLC']
DESKTOP METAL INC,"<a href=""http://www.google.com/search?q=stock price DESKTOP METAL INC"" 
        target=""_blank"">DESKTOP METAL INC</a>",25058X105,920876,['CITADEL ADVISORS LLC']
BIT DIGITAL INC,"<a href=""http://www.google.com/search?q=stock price BIT DIGITAL INC"" 
        target=""_blank"">BIT DIGITAL INC</a>",G1144A105,918756,['CITADEL ADVISORS LLC']
JOBY AVIATION INC,"<a href=""http://www.google.com/search?q=stock price JOBY AVIATION INC"" 
        target=""_blank"">JOBY AVIATION INC</a>",G65163100,917700,['CITADEL ADVISORS LLC']
TELEFONAKTIEBOLAGET LM ERICS,"<a href=""http://www.google.com/search?q=stock price TELEFONAKTIEBOLAGET LM ERICS"" 
        target=""_blank"">TELEFONAKTIEBOLAGET LM ERICS</a>",294821608,917280,['CITADEL ADVISORS LLC']
LINDSAY CORP,"<a href=""http://www.google.com/search?q=stock price LINDSAY CORP"" 
        target=""_blank"">LINDSAY CORP</a>",535555106,917036,['CITADEL ADVISORS LLC']
EVOLENT HEALTH INC,"<a href=""http://www.google.com/search?q=stock price EVOLENT HEALTH INC"" 
        target=""_blank"">EVOLENT HEALTH INC</a>",30050B101,914931,['CITADEL ADVISORS LLC']
MINISO GROUP HLDG LTD,"<a href=""http://www.google.com/search?q=stock price MINISO GROUP HLDG LTD"" 
        target=""_blank"">MINISO GROUP HLDG LTD</a>",66981J102,911880,['CITADEL ADVISORS LLC']
OWENS & MINOR INC NEW,"<a href=""http://www.google.com/search?q=stock price OWENS & MINOR INC NEW"" 
        target=""_blank"">OWENS & MINOR INC NEW</a>",690732102,911471,['CITADEL ADVISORS LLC']
XPEL INC,"<a href=""http://www.google.com/search?q=stock price XPEL INC"" 
        target=""_blank"">XPEL INC</a>",98379L100,910065,['CITADEL ADVISORS LLC']
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",46432F396,909962,['CITADEL ADVISORS LLC']
EDITAS MEDICINE INC,"<a href=""http://www.google.com/search?q=stock price EDITAS MEDICINE INC"" 
        target=""_blank"">EDITAS MEDICINE INC</a>",28106W103,909674,['CITADEL ADVISORS LLC']
TRANSMEDICS GROUP INC,"<a href=""http://www.google.com/search?q=stock price TRANSMEDICS GROUP INC"" 
        target=""_blank"">TRANSMEDICS GROUP INC</a>",89377M109,907695,['CITADEL ADVISORS LLC']
GENCO SHIPPING & TRADING LTD,"<a href=""http://www.google.com/search?q=stock price GENCO SHIPPING & TRADING LTD"" 
        target=""_blank"">GENCO SHIPPING & TRADING LTD</a>",Y2685T131,905814,['CITADEL ADVISORS LLC']
BIOMEA FUSION INC,"<a href=""http://www.google.com/search?q=stock price BIOMEA FUSION INC"" 
        target=""_blank"">BIOMEA FUSION INC</a>",09077A106,903144,['CITADEL ADVISORS LLC']
ASPEN TECHNOLOGY INC,"<a href=""http://www.google.com/search?q=stock price ASPEN TECHNOLOGY INC"" 
        target=""_blank"">ASPEN TECHNOLOGY INC</a>",29109X106,902615,['CITADEL ADVISORS LLC']
PRECISION DRILLING CORP,"<a href=""http://www.google.com/search?q=stock price PRECISION DRILLING CORP"" 
        target=""_blank"">PRECISION DRILLING CORP</a>",74022D407,901214,['CITADEL ADVISORS LLC']
HIRERIGHT HOLDINGS CORPORATI,"<a href=""http://www.google.com/search?q=stock price HIRERIGHT HOLDINGS CORPORATI"" 
        target=""_blank"">HIRERIGHT HOLDINGS CORPORATI</a>",433537107,891735,['CITADEL ADVISORS LLC']
SEAWORLD ENTMT INC,"<a href=""http://www.google.com/search?q=stock price SEAWORLD ENTMT INC"" 
        target=""_blank"">SEAWORLD ENTMT INC</a>",81282V100,887544,['CITADEL ADVISORS LLC']
VANGUARD SCOTTSDALE FDS,"<a href=""http://www.google.com/search?q=stock price VANGUARD SCOTTSDALE FDS"" 
        target=""_blank"">VANGUARD SCOTTSDALE FDS</a>",92206C706,883868,['CITADEL ADVISORS LLC']
BANCO MACRO SA,"<a href=""http://www.google.com/search?q=stock price BANCO MACRO SA"" 
        target=""_blank"">BANCO MACRO SA</a>",05961W105,878220,['CITADEL ADVISORS LLC']
UFP TECHNOLOGIES INC,"<a href=""http://www.google.com/search?q=stock price UFP TECHNOLOGIES INC"" 
        target=""_blank"">UFP TECHNOLOGIES INC</a>",902673102,877404,['CITADEL ADVISORS LLC']
FIRST TR EXCHANGE-TRADED FD,"<a href=""http://www.google.com/search?q=stock price FIRST TR EXCHANGE-TRADED FD"" 
        target=""_blank"">FIRST TR EXCHANGE-TRADED FD</a>",33733E500,877136,['CITADEL ADVISORS LLC']
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",46429B663,877114,['CITADEL ADVISORS LLC']
ATOMERA INC,"<a href=""http://www.google.com/search?q=stock price ATOMERA INC"" 
        target=""_blank"">ATOMERA INC</a>",04965B100,875549,['CITADEL ADVISORS LLC']
UNITED STS BRENT OIL FD LP,"<a href=""http://www.google.com/search?q=stock price UNITED STS BRENT OIL FD LP"" 
        target=""_blank"">UNITED STS BRENT OIL FD LP</a>",91167Q100,871189,['CITADEL ADVISORS LLC']
PHINIA INC,"<a href=""http://www.google.com/search?q=stock price PHINIA INC"" 
        target=""_blank"">PHINIA INC</a>",71880K101,869929,['CITADEL ADVISORS LLC']
FORTUNE BRANDS INNOVATIONS I,"<a href=""http://www.google.com/search?q=stock price FORTUNE BRANDS INNOVATIONS I"" 
        target=""_blank"">FORTUNE BRANDS INNOVATIONS I</a>",34964C106,867996,['CITADEL ADVISORS LLC']
INVESCO CURRENCYSHARES SWISS,"<a href=""http://www.google.com/search?q=stock price INVESCO CURRENCYSHARES SWISS"" 
        target=""_blank"">INVESCO CURRENCYSHARES SWISS</a>",46138R108,867396,['CITADEL ADVISORS LLC']
REVVITY INC,"<a href=""http://www.google.com/search?q=stock price REVVITY INC"" 
        target=""_blank"">REVVITY INC</a>",714046109,863549,['CITADEL ADVISORS LLC']
LIGHTWAVE LOGIC INC,"<a href=""http://www.google.com/search?q=stock price LIGHTWAVE LOGIC INC"" 
        target=""_blank"">LIGHTWAVE LOGIC INC</a>",532275104,861042,['CITADEL ADVISORS LLC']
NAPCO SEC TECHNOLOGIES INC,"<a href=""http://www.google.com/search?q=stock price NAPCO SEC TECHNOLOGIES INC"" 
        target=""_blank"">NAPCO SEC TECHNOLOGIES INC</a>",630402105,859675,['CITADEL ADVISORS LLC']
OLINK HLDG AB,"<a href=""http://www.google.com/search?q=stock price OLINK HLDG AB"" 
        target=""_blank"">OLINK HLDG AB</a>",680710100,857615,['CITADEL ADVISORS LLC']
HUDSON PAC PPTYS INC,"<a href=""http://www.google.com/search?q=stock price HUDSON PAC PPTYS INC"" 
        target=""_blank"">HUDSON PAC PPTYS INC</a>",444097109,855589,['CITADEL ADVISORS LLC']
