nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,figi,putCall,otherManager
EMBRACE CHANGE ACQUISITN COR,*W EXP 10/25/202,G3034H125,6518750,"{'sshPrnamt': '625000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '625000', 'Shared': '0', 'None': '0'}",625000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
EMBRAER S.A.,SPONSORED ADS,29082A107,21210822,"{'sshPrnamt': '1295713', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1295713', 'Shared': '0', 'None': '0'}",1295713,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
ENOVA INTL INC,COM,29357K103,25103305,"{'sshPrnamt': '565008', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '565008', 'Shared': '0', 'None': '0'}",565008,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
ESAB CORPORATION,COM,29605J106,21246298,"{'sshPrnamt': '359680', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '359680', 'Shared': '0', 'None': '0'}",359680,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
EVENTBRITE INC,NOTE 0.750% 9/1,29975EAD1,13068750,"{'sshPrnamt': '17000000', 'sshPrnamtType': 'PRN'}",SOLE,"{'Sole': '17000000', 'Shared': '0', 'None': '0'}",17000000,PRN,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FEUTUNE LIGHT ACQUISITION CO,RIGHT 06/01/2029,31561T128,296104,"{'sshPrnamt': '1850649', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1850649', 'Shared': '0', 'None': '0'}",1850649,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FEUTUNE LIGHT ACQUISITION CO,*W EXP 06/01/202,31561T110,8864805,"{'sshPrnamt': '850749', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '850749', 'Shared': '0', 'None': '0'}",850749,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FINANCIAL STRATEGIES ACQUISI,RIGHT 07/01/2023,31772T123,157800,"{'sshPrnamt': '1500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1500000', 'Shared': '0', 'None': '0'}",1500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FINANCIAL STRATEGIES ACQUISI,*W EXP 03/31/202,31772T115,5265550,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FINNOVATE ACQUISITION CORP,*W EXP 09/30/202,G3R34K111,8526880,"{'sshPrnamt': '817534', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '817534', 'Shared': '0', 'None': '0'}",817534,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FINTECH ECOSYSTEM DEVE,RIGHT 04/01/2026,318136124,150150,"{'sshPrnamt': '1500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1500000', 'Shared': '0', 'None': '0'}",1500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FIRST HORIZON CORPORATION,COM,320517105,25527279,"{'sshPrnamt': '1435730', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1435730', 'Shared': '0', 'None': '0'}",1435730,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FOCUS IMPACT ACQUISITION COR,*W EXP 10/28/202,34417L117,5198960,"{'sshPrnamt': '499900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '499900', 'Shared': '0', 'None': '0'}",499900,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FORGEROCK INC,CL A,34631B101,6634642,"{'sshPrnamt': '322070', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '322070', 'Shared': '0', 'None': '0'}",322070,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FOUR LEAF ACQUISITION CORP,UNIT 03/15/2028,35088F206,615000,"{'sshPrnamt': '60000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '60000', 'Shared': '0', 'None': '0'}",60000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FTAC EMERALD ACQUISITION COR,CLASS A COM,29103K100,4599000,"{'sshPrnamt': '450000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '450000', 'Shared': '0', 'None': '0'}",450000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FTAC ZEUS ACQUISITION COR,CLASS A COM,30320F106,5135000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FTAC ZEUS ACQUISITION COR,*W EXP 04/15/202,30320F114,5648500,"{'sshPrnamt': '550000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '550000', 'Shared': '0', 'None': '0'}",550000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
FUTURETECH II ACQUISITION CO,*W EXP 08/18/202,36119D111,9922838,"{'sshPrnamt': '947740', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '947740', 'Shared': '0', 'None': '0'}",947740,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
G SQUARED ASCEND II INC,*W EXP 12/31/202,G42041122,493508,"{'sshPrnamt': '47590', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '47590', 'Shared': '0', 'None': '0'}",47590,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GAMES & ESPORTS EXPRNC ACQ C,*W EXP 12/01/202,G3731J127,2557756,"{'sshPrnamt': '243364', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '243364', 'Shared': '0', 'None': '0'}",243364,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBAL BLOCKCHAIN ACQUI CORP,COMMON STOCK,37961B104,4626000,"{'sshPrnamt': '450000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '450000', 'Shared': '0', 'None': '0'}",450000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBAL BLOCKCHAIN ACQUI CORP,RIGHT 05/09/2027,37961B112,120000,"{'sshPrnamt': '1500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1500000', 'Shared': '0', 'None': '0'}",1500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBAL BLOCKCHAIN ACQUI CORP,*W EXP 05/09/202,37961B120,5140000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBAL STAR ACQUISITION INC,RIGHT 06/21/2024,37962G128,271987,"{'sshPrnamt': '1896704', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1896704', 'Shared': '0', 'None': '0'}",1896704,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBAL STAR ACQUISITION INC,*W EXP 07/15/202,37962G110,9236051,"{'sshPrnamt': '896704', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '896704', 'Shared': '0', 'None': '0'}",896704,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBAL STAR ACQUISITION INC,CLASS A COM,37962G102,4087504,"{'sshPrnamt': '396845', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '396845', 'Shared': '0', 'None': '0'}",396845,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBALINK INVT INC,RIGHT 12/06/2026,37892F117,175500,"{'sshPrnamt': '1950000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1950000', 'Shared': '0', 'None': '0'}",1950000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GLOBALINK INVT INC,*W EXP 12/03/202,37892F125,9880000,"{'sshPrnamt': '950000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '950000', 'Shared': '0', 'None': '0'}",950000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GOAL ACQUISITIONS CORP,*W EXP 02/11/202,38021H115,6923760,"{'sshPrnamt': '678800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '678800', 'Shared': '0', 'None': '0'}",678800,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GOLDEN ARROW MERGER CORP,*W EXP 07/31/202,380799114,2102344,"{'sshPrnamt': '207947', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '207947', 'Shared': '0', 'None': '0'}",207947,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GOLDENSTONE ACQUISITION LTD,RIGHT 07/15/2026,38136Y128,186993,"{'sshPrnamt': '1495943', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1495943', 'Shared': '0', 'None': '0'}",1495943,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GOLDENSTONE ACQUISITION LTD,*W EXP 07/15/202,38136Y110,7299279,"{'sshPrnamt': '703545', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '703545', 'Shared': '0', 'None': '0'}",703545,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GORES HOLDINGS IX INC,CLASS A COM,38287A101,4531500,"{'sshPrnamt': '450000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '450000', 'Shared': '0', 'None': '0'}",450000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GRUPO TELEVISA S A B,SPON ADR REP ORD,40049J206,4385965,"{'sshPrnamt': '829105', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '829105', 'Shared': '0', 'None': '0'}",829105,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
GSR II METEORA ACQUISITN COR,RIGHT 02/24/2027,36263W113,125758,"{'sshPrnamt': '147950', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '147950', 'Shared': '0', 'None': '0'}",147950,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HAINAN MANASLU ACQUISTN CORP,*W EXP 01/31/202,G4233U131,5933609,"{'sshPrnamt': '573850', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '573850', 'Shared': '0', 'None': '0'}",573850,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HAINAN MANASLU ACQUISTN CORP,RIGHT 01/31/2029,G4233U115,292940,"{'sshPrnamt': '1542601', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1542601', 'Shared': '0', 'None': '0'}",1542601,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HCM ACQUISITION CO,*W EXP 01/20/202,G4365A127,525132,"{'sshPrnamt': '50300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '50300', 'Shared': '0', 'None': '0'}",50300,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HEARTLAND MEDIA ACQUISITION,CL A COM,42237V108,4684500,"{'sshPrnamt': '450000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '450000', 'Shared': '0', 'None': '0'}",450000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HENNESSY CAPITAL INVST CORP,CLASS A COM,42600H108,4545000,"{'sshPrnamt': '450000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '450000', 'Shared': '0', 'None': '0'}",450000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HUDSON ACQUISITION I CORP,RIGHT 99/99/9999,44364H118,196313,"{'sshPrnamt': '982547', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '982547', 'Shared': '0', 'None': '0'}",982547,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
HUNTSMAN CORP,COM,447011107,13446209,"{'sshPrnamt': '491455', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '491455', 'Shared': '0', 'None': '0'}",491455,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
IAC INC,COM NEW,44891N208,24795142,"{'sshPrnamt': '480526', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '480526', 'Shared': '0', 'None': '0'}",480526,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
INCEPTION GROWTH ACQUSTN LTD,RIGHT 12/08/2026,45333D120,173414,"{'sshPrnamt': '1755200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1755200', 'Shared': '0', 'None': '0'}",1755200,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
INCEPTION GROWTH ACQUSTN LTD,*W EXP 10/15/202,45333D112,6395244,"{'sshPrnamt': '627600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '627600', 'Shared': '0', 'None': '0'}",627600,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
INTEGRAL ACQUISITION CORP 1,*W EXP 05/31/202,45827K119,3581087,"{'sshPrnamt': '348694', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '348694', 'Shared': '0', 'None': '0'}",348694,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
INTERNATIONAL GAME TECHNOLOG,SHS USD,G4863A108,30795746,"{'sshPrnamt': '1149095', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1149095', 'Shared': '0', 'None': '0'}",1149095,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
INTERNATIONAL MEDIA ACQUISIT,*W EXP 07/21/202,459867115,9459000,"{'sshPrnamt': '900000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '900000', 'Shared': '0', 'None': '0'}",900000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
INVESTCORP INDIA ACQUISTN CO,*W EXP 06/01/202,G49219127,125935,"{'sshPrnamt': '11971', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '11971', 'Shared': '0', 'None': '0'}",11971,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
ISHARES TR,CONSER ALLOC ETF,464289883,9448045,"{'sshPrnamt': '270253', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '270253', 'Shared': '0', 'None': '0'}",270253,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
IX ACQUISITION CORP,*W EXP 07/31/202,G5000D111,5145000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
JACKSON FINANCIAL INC,COM CL A,46817M107,25882819,"{'sshPrnamt': '691869', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '691869', 'Shared': '0', 'None': '0'}",691869,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
JUPITER ACQUISITION CORP,CL A,482082104,4543990,"{'sshPrnamt': '449900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '449900', 'Shared': '0', 'None': '0'}",449900,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
KEYARCH ACQUISITION CORP,RIGHT 01/24/2027,G5260A120,159504,"{'sshPrnamt': '1991305', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1991305', 'Shared': '0', 'None': '0'}",1991305,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
KEYARCH ACQUISITION CORP,*W EXP 01/24/202,G5260A112,5970968,"{'sshPrnamt': '578756', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '578756', 'Shared': '0', 'None': '0'}",578756,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
LANDCADIA HOLDINGS IV INC,CLASS A COM,51477A104,4052194,"{'sshPrnamt': '401605', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '401605', 'Shared': '0', 'None': '0'}",401605,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
LANTHEUS HLDGS INC,COM,516544103,14354542,"{'sshPrnamt': '173868', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '173868', 'Shared': '0', 'None': '0'}",173868,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
LARIMAR THERAPEUTICS INC,COM,517125100,3650342,"{'sshPrnamt': '805815', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '805815', 'Shared': '0', 'None': '0'}",805815,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
LAUREATE EDUCATION INC,COMMON STOCK,518613203,24096910,"{'sshPrnamt': '2049057', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2049057', 'Shared': '0', 'None': '0'}",2049057,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
LIBERTY MEDIA CORP DEL,COM C SIRIUSXM,531229607,8935752,"{'sshPrnamt': '319248', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '319248', 'Shared': '0', 'None': '0'}",319248,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
LIVE OAK CRESTVIEW CLIMATE A,CL A COM,538086109,4545000,"{'sshPrnamt': '450000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '450000', 'Shared': '0', 'None': '0'}",450000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
M3 BRIGADE ACQUISITION II CO,COM CL A,553800103,2598234,"{'sshPrnamt': '261655', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '261655', 'Shared': '0', 'None': '0'}",261655,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MALACCA STRAITS ACQUISITION,*W EXP 06/30/202,G5859B109,4987370,"{'sshPrnamt': '471842', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '471842', 'Shared': '0', 'None': '0'}",471842,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MAQUIA CAPITAL ACQUISITION C,*W EXP 05/05/202,56564V119,5320000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MASTERBRAND INC,COMMON STOCK,57638P104,21604887,"{'sshPrnamt': '2687175', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2687175', 'Shared': '0', 'None': '0'}",2687175,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
METAL SKY STAR ACQUISITION C,*W EXP 03/31/202,G6053N121,9929421,"{'sshPrnamt': '951094', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '951094', 'Shared': '0', 'None': '0'}",951094,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MINORITY EQUALITY OPPORTUNIT,*W EXP 08/26/202,60436Q118,5375000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MOBIV ACQUISITION CORP,*W EXP 07/31/202,60742N114,3116025,"{'sshPrnamt': '299330', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '299330', 'Shared': '0', 'None': '0'}",299330,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MONTEREY BIO ACQUISITION COR,*W EXP 10/05/202,61240F116,2954451,"{'sshPrnamt': '276634', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '276634', 'Shared': '0', 'None': '0'}",276634,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MONTEREY CAP ACQUISITION COR,*W EXP 01/01/202,61244M117,13137468,"{'sshPrnamt': '1280455', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1280455', 'Shared': '0', 'None': '0'}",1280455,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MONTEREY CAP ACQUISITION COR,RIGHT 05/10/2027,61244M125,409806,"{'sshPrnamt': '2276700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '2276700', 'Shared': '0', 'None': '0'}",2276700,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
MOUNTAIN CREST ACQUSITN CRP,RIGHT 06/29/2026,62403K116,213867,"{'sshPrnamt': '1126211', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1126211', 'Shared': '0', 'None': '0'}",1126211,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
NEWHOLD INVESTMENT CORP II,COM CL A,651450108,1831599,"{'sshPrnamt': '180100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '180100', 'Shared': '0', 'None': '0'}",180100,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
NOCTURNE ACQUISITION CORP,RIGHT 12/26/2025,G6580S106,195000,"{'sshPrnamt': '1500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1500000', 'Shared': '0', 'None': '0'}",1500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
NORTHVIEW ACQUISITION CORP,RIGHT 99/99/9999,66718N129,255000,"{'sshPrnamt': '1500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1500000', 'Shared': '0', 'None': '0'}",1500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
NORTHVIEW ACQUISITION CORP,*W EXP 08/02/202,66718N111,5170000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
NOVA VISION ACQUISITION CORP,*W EXP 12/31/202,G6759A118,966525,"{'sshPrnamt': '179152', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '179152', 'Shared': '0', 'None': '0'}",179152,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
OAK WOODS ACQUISITION CORP,UNIT 03/23/2028,67190B203,612000,"{'sshPrnamt': '60000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '60000', 'Shared': '0', 'None': '0'}",60000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
OCEANTECH ACQUISITIONS I COR,*W EXP 99/99/999,675507115,9546091,"{'sshPrnamt': '892158', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '892158', 'Shared': '0', 'None': '0'}",892158,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
O-I GLASS INC,COM,67098H104,22940302,"{'sshPrnamt': '1010141', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1010141', 'Shared': '0', 'None': '0'}",1010141,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
OMNILIT ACQUISITION CORP,CLASS A COM,68218C108,1628185,"{'sshPrnamt': '159626', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '159626', 'Shared': '0', 'None': '0'}",159626,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
ORION OFFICE REIT INC,COM,68629Y103,2665367,"{'sshPrnamt': '397816', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '397816', 'Shared': '0', 'None': '0'}",397816,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
OSIRIS ACQUISITION CORP,CL A,68829A103,2522365,"{'sshPrnamt': '253504', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '253504', 'Shared': '0', 'None': '0'}",253504,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
OXBRIDGE ACQUISITION CORP,*W EXP 08/04/202,G6855L117,5354950,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PAPAYA GRWT OPPORTUNITY CORP,*W EXP 12/31/202,69882P110,1351626,"{'sshPrnamt': '129964', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '129964', 'Shared': '0', 'None': '0'}",129964,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PFSWEB INC,COM NEW,717098206,3978901,"{'sshPrnamt': '938420', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '938420', 'Shared': '0', 'None': '0'}",938420,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PHOENIX BIOTECH ACQUISITION,*W EXP 09/01/202,71902K113,1746586,"{'sshPrnamt': '163538', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '163538', 'Shared': '0', 'None': '0'}",163538,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PLUTONIAN ACQUISITION CORP,*W EXP 10/26/202,72942P120,5120000,"{'sshPrnamt': '500000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '500000', 'Shared': '0', 'None': '0'}",500000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PLUTONIAN ACQUISITION CORP,RIGHT 10/26/2027,72942P112,12750,"{'sshPrnamt': '63750', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '63750', 'Shared': '0', 'None': '0'}",63750,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PLUTONIAN ACQUISITION CORP,COM,72942P104,2278799,"{'sshPrnamt': '222539', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '222539', 'Shared': '0', 'None': '0'}",222539,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PNC FINL SVCS GROUP INC,COM,693475105,9304610,"{'sshPrnamt': '73207', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '73207', 'Shared': '0', 'None': '0'}",73207,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PONO CAP THREE INC,UNIT 01/11/2028,G71704129,1436400,"{'sshPrnamt': '140000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '140000', 'Shared': '0', 'None': '0'}",140000,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PONO CAP TWO INC,*W EXP 07/31/202,73245B115,9710150,"{'sshPrnamt': '930091', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '930091', 'Shared': '0', 'None': '0'}",930091,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
POWERUP ACQUISITION CORP,*W EXP 05/23/202,G7207P129,657353,"{'sshPrnamt': '62605', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '62605', 'Shared': '0', 'None': '0'}",62605,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
PRIME NO ACQUISITION I CORP,RIGHT 07/31/2027,74168P123,231321,"{'sshPrnamt': '1377729', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '1377729', 'Shared': '0', 'None': '0'}",1377729,SH,1535392,2023-05-15,2023-03-31,MANGROVE PARTNERS,,,
