name,cusip,twitter
ADVANCED ENERGY INDS,007973100,AdvEnergyUnited
ISHARES TR,464289511,iSharesCanada
ISHARES INC,464286103,iSharesCanada
ISHARES INC,46434G830,iSharesCanada
SPDR SER TR,78464A292,StateStreetETFs
VANECK ETF TRUST,92189F411,vaneck_us
ISHARES TR,46434V647,iSharesCanada
VANECK ETF TRUST,92189F700,vaneck_us
ISHARES TR,464287390,iSharesCanada
ISHARES TR,464287101,iSharesCanada
ISHARES TR,464287507,iSharesCanada
ISHARES TR,46434V613,iSharesCanada
ISHARES TR,464287150,iSharesCanada
PROSHARES TR,74347R305,TheSharkDaymond
PROSHARES TR,74347X849,TheSharkDaymond
PROSHARES TR,74347G705,TheSharkDaymond
VANECK ETF TRUST,92189H201,vaneck_us
ISHARES TR,464287168,iSharesCanada
VANECK ETF TRUST,92189H409,vaneck_us
PROSHARES TR,74347X880,TheSharkDaymond
ISHARES INC,464286319,iSharesCanada
VANECK ETF TRUST,92189F205,vaneck_us
ISHARES INC,464286756,iSharesCanada
ADVANSIX INC,00773T101,TheChemicalShow
SPDR SER TR,78468R853,StateStreetETFs
ISHARES TR,464287713,iSharesCanada
PROSHARES TR,74347G556,TheSharkDaymond
PROSHARES TR,74347X625,TheSharkDaymond
ISHARES TR,464287176,iSharesCanada
PROSHARES TR,74347R776,TheSharkDaymond
SPDR SER TR,78464A581,StateStreetETFs
ISHARES TR,464287408,iSharesCanada
ISHARES INC,464286707,iSharesCanada
AFC GAMMA INC,00109K105,jimvelgot
PROSHARES TR,74347X633,TheSharkDaymond
ISHARES TR,46429B663,iSharesCanada
ARK ETF TR,00214Q807,ARKInvest
ISHARES TR,464287671,iSharesCanada
ISHARES INC,464286780,iSharesCanada
ISHARES INC,464286327,iSharesCanada
VANECK ETF TRUST,92189F437,vaneck_us
PROSHARES TR,74347R842,TheSharkDaymond
ISHARES TR,464288844,iSharesCanada
ISHARES TR,464287754,iSharesCanada
ISHARES TR,46429B614,iSharesCanada
SPDR SER TR,78464A383,StateStreetETFs
AG MTG INVT TR INC,001228501,agmortgagebank
ISHARES INC,464286749,iSharesCanada
ISHARES TR,46432F842,iSharesCanada
ISHARES TR,464288620,iSharesCanada
23ANDME HOLDING CO,90138Q108,23andMeResearch
PROSHARES TR,74347B698,TheSharkDaymond
VANECK ETF TRUST,92189F692,vaneck_us
AGILYSYS INC,00847J105,agilysis_uk
VANECK ETF TRUST,92189F452,vaneck_us
ACHIEVE LIFE SCIENCES INC,004468500,AchieveInc
SPDR SER TR,78464A367,StateStreetETFs
ISHARES INC,46434G848,iSharesCanada
ISHARES TR,46434V514,iSharesCanada
ISHARES TR,464287606,iSharesCanada
ISHARES TR,46432F339,iSharesCanada
8X8 INC NEW,282914100,8x8
ISHARES INC,464286715,iSharesCanada
ISHARES TR,464287481,iSharesCanada
ISHARES TR,464287879,iSharesCanada
4D MOLECULAR THERAPEUTICS IN,35104E100,4DMolecular
ISHARES INC,46434G855,iSharesCanada
PROSHARES TR,74347G366,TheSharkDaymond
ISHARES TR,464288638,iSharesCanada
ADECOAGRO S A,L00849106,AdecoagroIR
SPDR SER TR,78464A805,StateStreetETFs
ISHARES INC,464286871,iSharesCanada
ISHARES INC,46434G764,iSharesCanada
SPDR SER TR,78464A656,StateStreetETFs
ISHARES TR,464288794,iSharesCanada
ADAPTIVE BIOTECHNOLOGIES COR,00650F109,AdaptiveBiotech
VANECK ETF TRUST,92189F643,vaneck_us
ISHARES INC,46434G103,iSharesCanada
ISHARES TR,464287861,iSharesCanada
ISHARES INC,464286525,iSharesCanada
ISHARES TR,464287622,iSharesCanada
PROSHARES TR,74347R693,TheSharkDaymond
ISHARES TR,464288869,iSharesCanada
ISHARES INC,464286665,iSharesCanada
SPDR SER TR,78468R648,StateStreetETFs
AFYA LTD,G01125106,AfyaFoundation
PROSHARES TR,74347B227,TheSharkDaymond
PROSHARES TR,74347G382,TheSharkDaymond
ISHARES TR,46435U713,iSharesCanada
ADMA BIOLOGICS INC,000899104,AdmaBiologics
ISHARES TR,46435U135,iSharesCanada
ISHARES INC,464286640,iSharesCanada
PROSHARES TR,74347B714,TheSharkDaymond
ISHARES INC,46434G780,iSharesCanada
ADTALEM GLOBAL ED INC,00737L103,adtalemglobal
SPDR SER TR,78464A201,StateStreetETFs
ISHARES TR,46429B697,iSharesCanada
PROSHARES TR,74347G838,TheSharkDaymond
ADDUS HOMECARE CORP,006739106,addusnashville
ISHARES TR,464287838,iSharesCanada
1ST SOURCE CORP,336901103,1stSourceBankPC
ISHARES TR,464287341,iSharesCanada
AGILITI INC,00848J104,agilitihealth
PROSHARES TR,74347G739,TheSharkDaymond
AGENUS INC,00847G705,Agenus_Bio
ISHARES TR,464288182,iSharesCanada
AEVA TECHNOLOGIES INC,00835Q103,aevainc
SPDR SER TR,78464A771,StateStreetETFs
SPDR SER TR,78464A607,StateStreetETFs
PROSHARES TR,74347B425,TheSharkDaymond
22ND CENTY GROUP INC,90137F202,_xxiicentury
VANECK ETF TRUST,92189F114,vaneck_us
ISHARES TR,464287564,iSharesCanada
PROSHARES TR,74347G283,TheSharkDaymond
PROSHARES TR,74347B235,TheSharkDaymond
ISHARES TR,46429B747,iSharesCanada
AEYE INC,008183105,AEyeInc
ISHARES TR,464288570,iSharesCanada
ISHARES TR,464287788,iSharesCanada
ISHARES TR,46435G102,iSharesCanada
SPDR SER TR,78464A300,StateStreetETFs
ISHARES TR,464287309,iSharesCanada
ISHARES INC,46434G814,iSharesCanada
ISHARES TR,464288430,iSharesCanada
PROSHARES TR,74347R131,TheSharkDaymond
ISHARES TR,464288448,iSharesCanada
ISHARES TR,46434V738,iSharesCanada
PROSHARES TR,74347R313,TheSharkDaymond
SPDR SER TR,78464A649,StateStreetETFs
ADC THERAPEUTICS SA,H0036K147,ZynlontaHCP
SPDR SER TR,78464A847,StateStreetETFs
AGEAGLE AERIAL SYS INC NEW,00848K101,AgEagleUAVS
PROSHARES TR,74347G689,TheSharkDaymond
VANECK ETF TRUST,92189H839,vaneck_us
ISHARES TR,46435G474,iSharesCanada
ACACIA RESH CORP,003881307,Acacia_Research
ARK ETF TR,00214Q609,ARKInvest
ADEIA INC,00676P107,adeia_inc
ADVERUM BIOTECHNOLOGIES INC,00773U108,adverumbio
AC IMMUNE SA,H00263105,AC_Immune_SA
AEGLEA BIOTHERAPEUTICS INC,00773J202,aegleabio
A K A BRANDS HLDG CORP,00152K101,aka_brands
